scientificName,decimalLatitude,decimalLongitude,date_year,depth,country,basisOfRecord,datasetName
Orcinus orca,-63.539254,-55.56819,2021.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,51.410333,-9.512667,1981.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,60.2,-147.8,2020.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the Gulf of Alaska 2019-2021
Orcinus orca,69.07,13.72,2001.0,,,HumanObservation,
Orcinus orca,48.497323,-123.136793,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,55.34,-131.67,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-64.961425,-63.432861,2020.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,36.121,-5.99415,2011.0,,,HumanObservation,CIRCE Marine mammals off Spain 2001-2012
Orcinus orca,67.35,11.3,2001.0,,,HumanObservation,
Orcinus orca,58.345467,-3.162183,2023.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,57.7308,-173.949,2002.0,,,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey
Orcinus orca,58.524193,-134.907348,2023.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,75.8,27.1,2014.0,,,HumanObservation,
Orcinus orca,70.126903,21.10302,2018.0,,,HumanObservation,Happywhale - Killer whale in North Atlantic Ocean
Orcinus orca,-43.2,145.3,2015.0,472.6,,HumanObservation,
Orcinus orca,59.7,-149.5,2019.0,,,MachineObservation,Passive acoustic monitoring of killer whales in the Gulf of Alaska 2019-2021
Orcinus orca,57.934067,-154.522867,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,68.25,16.13,1989.0,,,HumanObservation,
Orcinus orca,58.207967,-134.482575,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,-42.4,173.85,1995.0,,,HumanObservation,"Killer whale (Orcinus orca) predation on dusky dolphins (Lagenorhynchus obscurus) in Kaikoura, New Zealand"
Orcinus orca,-63.976074,-60.951462,2019.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,62.72,0.03,2002.0,,,HumanObservation,
Orcinus orca,71.8,24.0,1984.0,,,HumanObservation,
Orcinus orca,-64.497,-62.3741,2020.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-63.5,-56.52,2025.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,-65.10568,-64.035187,2017.0,,,HumanObservation,Happywhale - Killer whale in Southern Ocean
Orcinus orca,69.77,18.65,2014.0,,,HumanObservation,
Orcinus orca,-37.9,77.6,2016.0,141.483871,,HumanObservation,
Orcinus orca,58.396622,-134.96627,2025.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,11.6,-92.13,1990.0,,,HumanObservation,"SWFSC Marine Mammal Survey, MOPS 1990, Cruise 1369"
Orcinus orca,56.446683,-3.0986,2000.0,0.0,,HumanObservation,Sea Watch Foundation Marine Megafauna Sightings: 1971 to present
Orcinus orca,37.703825,-122.898152,2019.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,48.8351,-123.331284,2018.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
Orcinus orca,36.8103,-122.0885,2020.0,,,HumanObservation,Happywhale - Killer whale in North Pacific Ocean
